id,code,state_sat_code/id,name
township_sat_120,004,base.state_mx_tab,Centro
township_sat_121,004,base.state_mx_tamps,Antiguo Morelos
township_sat_122,004,base.state_mx_tlax,Atltzayanca
township_sat_123,004,base.state_mx_ver,Actopan
township_sat_124,004,base.state_mx_yuc,Baca
township_sat_125,004,base.state_mx_zac,Benito Juárez
township_sat_126,005,base.state_mx_ags,Jesús María
township_sat_127,005,base.state_mx_bc,Playas de Rosarito
township_sat_128,005,base.state_mx_camp,Hecelchakán
township_sat_129,005,base.state_mx_coah,Candela
township_sat_130,005,base.state_mx_col,Cuauhtémoc
township_sat_131,005,base.state_mx_chih,Ascensión
township_sat_132,005,base.state_mx_chis,Amatán
township_sat_133,005,base.state_mx_df,Gustavo A. Madero
township_sat_134,005,base.state_mx_dgo,Durango
township_sat_135,005,base.state_mx_gro,Alpoyeca
township_sat_136,005,base.state_mx_gto,Apaseo el Grande
township_sat_137,005,base.state_mx_hgo,Ajacuba
township_sat_138,005,base.state_mx_jal,Amatitán
township_sat_139,005,base.state_mx_mex,Almoloya de Juárez
township_sat_140,005,base.state_mx_mich,Angangueo
township_sat_141,005,base.state_mx_mor,Coatlán del Río
township_sat_142,005,base.state_mx_nay,Huajicori
township_sat_143,005,base.state_mx_nl,Anáhuac
township_sat_144,005,base.state_mx_oax,Asunción Ixtaltepec
township_sat_145,005,base.state_mx_pue,Acteopan
township_sat_146,005,base.state_mx_qro,Colón
township_sat_147,005,base.state_mx_q_roo,Benito Juárez
township_sat_148,005,base.state_mx_sin,Cosalá
township_sat_149,005,base.state_mx_slp,Cárdenas
township_sat_150,005,base.state_mx_son,Arivechi
township_sat_151,005,base.state_mx_tab,Comalcalco
township_sat_152,005,base.state_mx_tamps,Burgos
township_sat_153,005,base.state_mx_tlax,Apizaco
township_sat_154,005,base.state_mx_ver,Acula
township_sat_155,005,base.state_mx_yuc,Bokobá
township_sat_156,005,base.state_mx_zac,Calera
township_sat_157,006,base.state_mx_ags,Pabellón de Arteaga
township_sat_158,006,base.state_mx_camp,Hopelchén
township_sat_159,006,base.state_mx_coah,Castaños
township_sat_160,006,base.state_mx_col,Ixtlahuacán
township_sat_161,006,base.state_mx_chih,Bachíniva
township_sat_162,006,base.state_mx_chis,Amatenango de la Frontera
township_sat_163,006,base.state_mx_df,Iztacalco
township_sat_164,006,base.state_mx_dgo,General Simón Bolívar
township_sat_165,006,base.state_mx_gro,Apaxtla
township_sat_166,006,base.state_mx_gto,Atarjea
township_sat_167,006,base.state_mx_hgo,Alfajayucan
township_sat_168,006,base.state_mx_jal,Ameca
township_sat_169,006,base.state_mx_mex,Almoloya del Río
township_sat_170,006,base.state_mx_mich,Apatzingán
township_sat_171,006,base.state_mx_mor,Cuautla
township_sat_172,006,base.state_mx_nay,Ixtlán del Río
township_sat_173,006,base.state_mx_nl,Apodaca
township_sat_174,006,base.state_mx_oax,Asunción Nochixtlán
township_sat_175,006,base.state_mx_pue,Ahuacatlán
township_sat_176,006,base.state_mx_qro,Corregidora
township_sat_177,006,base.state_mx_q_roo,José María Morelos
township_sat_178,006,base.state_mx_sin,Culiacán
township_sat_179,006,base.state_mx_slp,Catorce
township_sat_180,006,base.state_mx_son,Arizpe
township_sat_181,006,base.state_mx_tab,Cunduacán
township_sat_182,006,base.state_mx_tamps,Bustamante
township_sat_183,006,base.state_mx_tlax,Calpulalpan
township_sat_184,006,base.state_mx_ver,Acultzingo
township_sat_185,006,base.state_mx_yuc,Buctzotz
township_sat_186,006,base.state_mx_zac,Cañitas de Felipe Pescador
township_sat_187,007,base.state_mx_ags,Rincón de Romos
township_sat_188,007,base.state_mx_camp,Palizada
township_sat_189,007,base.state_mx_coah,Cuatro Ciénegas
township_sat_190,007,base.state_mx_col,Manzanillo
township_sat_191,007,base.state_mx_chih,Balleza
township_sat_192,007,base.state_mx_chis,Amatenango del Valle
township_sat_193,007,base.state_mx_df,Iztapalapa
township_sat_194,007,base.state_mx_dgo,Gómez Palacio
