id,code,state_sat_code/id,name
Locality_117,04,base.state_mx_qro,El Pueblito
Locality_118,04,base.state_mx_q_roo,Chetumal
Locality_119,04,base.state_mx_sin,Guasave
Locality_120,04,base.state_mx_slp,Rioverde
Locality_121,04,base.state_mx_son,Ciudad Obregón
Locality_122,04,base.state_mx_tab,Emiliano Zapata
Locality_123,04,base.state_mx_tamps,Ciudad Mante
Locality_124,04,base.state_mx_tlax,Huamantla
Locality_125,04,base.state_mx_ver,Coatepec
Locality_126,04,base.state_mx_yuc,Motul de Carrillo Puerto
Locality_127,04,base.state_mx_zac,Guadalupe
Locality_128,05,base.state_mx_ags,Pabellón de Arteaga
Locality_129,05,base.state_mx_bc,Playas de Rosarito
Locality_130,05,base.state_mx_bcs,Loreto
Locality_131,05,base.state_mx_camp,Escárcega
Locality_132,05,base.state_mx_coah,Parras de la Fuente
Locality_133,05,base.state_mx_col,Ciudad de Armería
Locality_134,05,base.state_mx_chih,Hidalgo del Parral
Locality_135,05,base.state_mx_chis,Venustiano Carranza
Locality_136,05,base.state_mx_df,Ciudad de México
Locality_137,05,base.state_mx_dgo,Canatlán
Locality_138,05,base.state_mx_gro,Arcelia
Locality_139,05,base.state_mx_gto,Guanajuato
Locality_140,05,base.state_mx_hgo,Tula de Allende
Locality_141,05,base.state_mx_jal,Ocotlán
Locality_142,05,base.state_mx_mex,Ecatepec de Morelos
Locality_143,05,base.state_mx_mich,La piedad de Cabadas
Locality_144,05,base.state_mx_mor,Puente de Ixtla
Locality_145,05,base.state_mx_nay,Tecuala
Locality_146,05,base.state_mx_nl,Linares
Locality_147,05,base.state_mx_oax,Matías Romero Avendaño
Locality_148,05,base.state_mx_pue,Tehuacan
Locality_149,05,base.state_mx_q_roo,Playa del Carmen
Locality_150,05,base.state_mx_sin,Mazatlán
Locality_151,05,base.state_mx_slp,San Luis Potosí
Locality_152,05,base.state_mx_son,Empalme
Locality_153,05,base.state_mx_tab,Jalpa de Méndez
Locality_154,05,base.state_mx_tamps,Heroica Matamoros
Locality_155,05,base.state_mx_tlax,Calpulalpan
Locality_156,05,base.state_mx_ver,Agua dulce
Locality_157,05,base.state_mx_yuc,Valladolid
Locality_158,05,base.state_mx_zac,Río Grande
Locality_159,06,base.state_mx_ags,Rincón de Romos
Locality_160,06,base.state_mx_bc,Rodolfo Sánchez T. (Maneadero)
Locality_161,06,base.state_mx_bcs,Puerto Adolfo López Mateos
Locality_162,06,base.state_mx_camp,Sabancuy
Locality_163,06,base.state_mx_coah,Piedras Negras
Locality_164,06,base.state_mx_chih,Juárez
Locality_165,06,base.state_mx_chis,Jiquipilas
Locality_166,06,base.state_mx_df,Ciudad de México
Locality_167,06,base.state_mx_dgo,San Juan del Río del Centauro del Norte
Locality_168,06,base.state_mx_gro,Ayutla de los Libres
Locality_169,06,base.state_mx_gto,Irapuato
Locality_170,06,base.state_mx_hgo,Tulancingo
Locality_171,06,base.state_mx_jal,Puerto Vallarta
Locality_172,06,base.state_mx_mex,Huixquilucan de Degollado
Locality_173,06,base.state_mx_mich,Morelia
Locality_174,06,base.state_mx_mor,Santa Rosa Treinta
Locality_175,06,base.state_mx_nay,Compostela
Locality_176,06,base.state_mx_nl,Montemorelos
Locality_177,06,base.state_mx_oax,Heroica Ciudad de Huajuapan de León
Locality_178,06,base.state_mx_pue,Teziutlan
Locality_179,06,base.state_mx_q_roo,Kantunilkín
Locality_180,06,base.state_mx_sin,Guamúchil
Locality_181,06,base.state_mx_slp,Soledad de Graciano Sánchez
Locality_182,06,base.state_mx_son,Heroica Guaymas
Locality_183,06,base.state_mx_tamps,Nuevo Laredo
Locality_184,06,base.state_mx_tlax,Chiautempan
Locality_185,06,base.state_mx_ver,Coatzacoalcos
Locality_186,06,base.state_mx_yuc,Kanasín
Locality_187,06,base.state_mx_zac,Ciudad Cuauhtémoc
Locality_188,07,base.state_mx_ags,Asientos
Locality_189,07,base.state_mx_bc,San Felipe
Locality_190,07,base.state_mx_bcs,Todos Santos
Locality_191,07,base.state_mx_camp,Hopelchén
Locality_192,07,base.state_mx_coah,Sabinas
Locality_193,07,base.state_mx_chih,Nuevo Casas Grandes
Locality_194,07,base.state_mx_chis,Villaflores
Locality_195,07,base.state_mx_df,Ciudad de México
Locality_196,07,base.state_mx_dgo,Peñón Blanco
Locality_197,07,base.state_mx_gro,Atoyac de Álvarez
Locality_198,07,base.state_mx_gto,León de los Aldama
Locality_199,07,base.state_mx_hgo,Zimapan
Locality_200,07,base.state_mx_jal,San Juan de los Lagos
Locality_201,07,base.state_mx_mex,Los Reyes Acaquilpan (La Paz)
Locality_202,07,base.state_mx_mich,Pátzcuaro
Locality_203,07,base.state_mx_mor,Zacatepec de Hidalgo
Locality_204,07,base.state_mx_nay,Francisco I. Madero (Puga)
Locality_205,07,base.state_mx_nl,Monterrey
Locality_206,07,base.state_mx_oax,Loma Bonita
Locality_207,07,base.state_mx_pue,San Andrés Cholula
Locality_208,07,base.state_mx_q_roo,Isla Mujeres
Locality_209,07,base.state_mx_sin,Navolato
Locality_210,07,base.state_mx_slp,Charcas
Locality_211,07,base.state_mx_son,Hermosillo
Locality_212,07,base.state_mx_tab,Macuspana
Locality_213,07,base.state_mx_tamps,Reynosa
Locality_214,07,base.state_mx_ver,Córdoba
Locality_215,07,base.state_mx_zac,Ojocaliente
Locality_216,08,base.state_mx_ags,Tepezalá
Locality_217,08,base.state_mx_bcs,Heroica Mulegé
Locality_218,08,base.state_mx_camp,Champotón
Locality_219,08,base.state_mx_coah,Saltillo
Locality_220,08,base.state_mx_chis,Las Margaritas
Locality_221,08,base.state_mx_df,Ciudad de México
Locality_222,08,base.state_mx_dgo,Francisco I. Madero
Locality_223,08,base.state_mx_gto,Moroleón
Locality_224,08,base.state_mx_hgo,Huejutla de Reyes
Locality_225,08,base.state_mx_jal,Tepatitlán de Morelos
Locality_226,08,base.state_mx_mex,Metepec
Locality_227,08,base.state_mx_mich,Sahuayo de Morelos
Locality_228,08,base.state_mx_mor,Tlaquiltenango
Locality_229,08,base.state_mx_nay,Villa Hidalgo (El Nuevo)
Locality_230,08,base.state_mx_nl,Ciudad Sabinas Hidalgo
Locality_231,08,base.state_mx_oax,Puerto Escondido
Locality_232,08,base.state_mx_pue,San Pedro Cholula
Locality_233,08,base.state_mx_q_roo,Bacalar
Locality_234,08,base.state_mx_sin,Quila
Locality_235,08,base.state_mx_slp,Salinas de Hidalgo
Locality_236,08,base.state_mx_son,Huatabampo
Locality_237,08,base.state_mx_tab,Tenosique de Pino Suárez
Locality_238,08,base.state_mx_tamps,Ciudad Río Bravo
Locality_239,08,base.state_mx_ver,Tres Valles
Locality_240,08,base.state_mx_zac,Villa Hidalgo
Locality_241,09,base.state_mx_ags,Cosío
Locality_242,09,base.state_mx_bcs,Villa Alberto Andrés Alvarado Arámburo
Locality_243,09,base.state_mx_camp,Hecelchakán
Locality_244,09,base.state_mx_coah,Nueva Rosita
Locality_245,09,base.state_mx_chih,Madera
Locality_246,09,base.state_mx_chis,Arriaga
Locality_247,09,base.state_mx_df,Ciudad de México
Locality_248,09,base.state_mx_dgo,Nombre de Dios
Locality_249,09,base.state_mx_gro,San Jerónimo de Juárez
Locality_250,09,base.state_mx_gto,Salamanca
Locality_251,09,base.state_mx_hgo,Tlaxcoapan
Locality_252,09,base.state_mx_jal,Tlaquepaque
Locality_253,09,base.state_mx_mex,Naucalpan de Juárez
Locality_254,09,base.state_mx_mich,Uruapan
Locality_255,09,base.state_mx_nay,Ruiz
Locality_256,09,base.state_mx_nl,San Nicolás de los Garza
Locality_257,09,base.state_mx_oax,Río Grande o Piedra Parada
Locality_258,09,base.state_mx_pue,Huauchinango
Locality_259,09,base.state_mx_sin,Ahome
Locality_260,09,base.state_mx_slp,Cárdenas
Locality_261,09,base.state_mx_son,Navojoa
Locality_262,09,base.state_mx_tab,Teapa
Locality_263,09,base.state_mx_tamps,San Fernando
Locality_264,09,base.state_mx_ver,Jáltipan de Morelos
Locality_265,09,base.state_mx_zac,Villanueva
Locality_266,10,base.state_mx_bcs,San Ignacio
Locality_267,10,base.state_mx_coah,San Pedro
Locality_268,10,base.state_mx_chih,Colonia Anáhuac
Locality_269,10,base.state_mx_chis,Palenque
