id,code,name,between,stop_to,grant_receive,concessionaire,start_date
waybill_codigo_derecho_paso_46,CDP047,N-9,Buenavista (Km. Juarez 1+000 / Morelos 1+000),Huehueteca (Juarez-43+724 / Morelos-43+724),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_47,CDP048,PN-1,Tabaloapa,Chihuahua,Otorga,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_48,CDP049,PN-10,arbol Grande (Km. M-4+128 = L-672+419),Altamira (Km. M-27+571),Otorga,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_49,CDP050,PN-10,arbol Grande (Km. M-4+128 = L-672+419),Altamira (Km. M-27+571),Recibe," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_50,CDP051,PN-11,Arellano (Km. A-574+000),Chicalote (Km. L-14+320 = A-599+320),Otorga,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_51,CDP052,PN-11,Arellano (Km. A-574+000),Chicalote (Km. L-14+320 = A-599+320),Recibe," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_52,CDP053,PN-12,Viborillas (Km. BC-8+756),Huehuetoca (Km. B-49+000),Otorga,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_53,CDP054,PN-12,Viborillas (Km. BC-8+756),Huehuetoca (Km. B-49+000),Recibe," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_54,CDP055,PN-13,Sabinas (Km. R-115+000),Ciudad Frontera (Km. R-240+443),Otorga,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_55,CDP056,PN-13,Sabinas (Km. R-115+000),Ciudad Frontera (Km. R-240+443),Otorga,"Via troncal Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
