id,code,name,between,stop_to,grant_receive,concessionaire,start_date
waybill_codigo_derecho_paso_82,CDP083,S-8,Empalme Distrito de Atencingo (Km. VB-101+000),Puebla (Km. VB-109+946),Otorga," Via ferrea del Sur (actualmente Ferrosur,  S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_83,CDP084,S-8,Empalme distrito de Atencingo (Km. VB-101+000),Puebla (Km. VB-109+946),Recibe,"  Troncal del Sureste (actualmente Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_84,CDP085,S-9,Tres Valles (Km. G-133+565),Tierra Blanca (Km G-93+000),Otorga," Via corta tramo Tres Valles -San Cristobal (actualmente Ferrosur, S.A. de C.V.)                     ",2021-06-01
waybill_codigo_derecho_paso_85,CDP086,SUR -1=S-4,Puebla (Km. VB-109+000),Oriental (Km. VB-189+027 = V-217+026),Otorga," Via ferrea del Noreste (actualmente  Kansas City Southern de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_86,CDP087,SUR-1,Puebla (Km. VB-109+000),Oriental (km. VB-189+027 = V-217+026),Recibe," Via ferrea del Sur (actualmente Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_87,CDP088,SUR-2,Xoxtla (Km. VB-85+500),Empalme distrito de Atencingo  (Km. VB-101+000),Recibe," Via corta del Sur (actualmente  Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_88,CDP089,SUR-2,Xoxtla (Km. VB-85+500),Empalme distrito de Atencingo (Km. VB-101+000) ,Otorga," Via troncal del Sureste (actualmente Ferrosur,  S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_89,CDP090,SUR-3,San lorenzo (Km. VB-000+600)  ,"Puerto Seco, Puebla",Otorga," Via troncal del Noreste (actualmente Kansas City Southern de  Mexico, S.A. de C.V.",2021-06-01
waybill_codigo_derecho_paso_90,CDP091,TVM-1,Lecheria (Km. H-0+295 = B-21+020),Teotihuacan (Km. VS-0+695),Recibe," Via ferrea de la Terminal del  Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.) ",2021-06-01
waybill_codigo_derecho_paso_91,CDP092,TVM-1,Lecheria( Km. H-0+295 = B-21+020),Teotihuacan (Km. VS-0+695),Otorga," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.",2021-06-01
waybill_codigo_derecho_paso_92,CDP093,TVM-10,Km. S-13+100 = VK-0+000,Km. VK-27+000 ,Recibe,"  Via Ferrocarril y Terminal del Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_93,CDP094,TVM-10,S-13+100 = VK -0+000,VK-27+000,Otorga,"Via ferrea del Sureste  (actualmente Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_94,CDP095,TVM-11,S-0+000 = A-12+386,VK-27+000,Recibe," Via ferrea de la Terminal Ferroviaria del Valle de Mexico, S.A. de C.V.",2021-06-01
waybill_codigo_derecho_paso_95,CDP096,TVM-11,S-0+000 = A-12+386,VK-27+000,Otorga," Via ferrea del Sur (actualmente Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_96,CDP097,TVM-12,Km. A-2+576 y B-7+715,Km. A-21+500  y B-24+000,Recibe,"  Via Ferrocarril y Terminal del Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_97,CDP098,TVM-12,A-2+576,A-21+500,Otorga,"Via ferrea del Sureste  (actualmente Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_98,CDP099,TVM-13,Jaltocan (Km. H-18+800),Pantaco (Km. B-7+715 y A-2+576),Recibe,"  Via Ferrocarril y Terminal del Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_99,CDP100,TVM-13,Jaltocan (Km. H-18+800),Pantaco (Km. B-7+715 y A-2+576),Otorga," Via ferrea de Hidalgo (actualmente Ferrosur, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_100,CDP101,TVM-14,Huehuetoca (Km. A-47+000) ,Lecheria (Km. A-21+500),Recibe,"  Via Ferrocarril y Terminal del Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_101,CDP102,TVM-2,Terminal de Valle de Mexico (Km. A-12+386 = S-0+000),Teotihuacan (Km. S-43+483),Recibe," Via ferrea de la Terminal del  Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.) ",2021-06-01
waybill_codigo_derecho_paso_102,CDP103,TVM-2,Terminal del Valle de Mexico (Km. A-12+386 = S-0+000),Teotihuacan (Km. S-43+483),Otorga," Via ferrea del Noreste (actualmente Kansas City Southern de Mexico, S.A. de C.V.",2021-06-01
waybill_codigo_derecho_paso_103,CDP104,TVM-3,Kilometros VK-24+883 = V-18+781,Los Reyes (Km. VK-27+000),Recibe," Via ferrea de la Terminal del  Valle de Mexico (actualmente Ferrocarril y Terminal del Valle de Mexico, S.A. de C.V.) ",2021-06-01
