id,code,type,name,start_date
waybill_tipo_contenedor_00,TC01,20',Contenedor de 6.1 Mts de longitud,2021-06-01
waybill_tipo_contenedor_01,TC02,40',Contenedor de 12.2 Mts de longitud,2021-06-01
waybill_tipo_contenedor_02,TC03,45',Contenedor de 13.7 Mts de longitud,2021-06-01
waybill_tipo_contenedor_03,TC04,48',Contenedor de 14.6 Mts de longitud,2021-06-01
waybill_tipo_contenedor_04,TC05,53',Contenedor de 16.1 Mts de longitud,2021-06-01
