id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_75,02,PM076,Chetumal,Mexico,,,2021-06-01
waybill_complemento_estacion_76,02,PM077,Holbox,Mexico,,,2021-06-01
waybill_complemento_estacion_77,02,PM078,Mazatlan,Mexico,,,2021-06-01
waybill_complemento_estacion_78,02,PM079,Topolobampo,Mexico,,,2021-06-01
waybill_complemento_estacion_79,02,PM080,Altata,Mexico,,,2021-06-01
waybill_complemento_estacion_80,02,PM081,El Sabalo,Mexico,,,2021-06-01
waybill_complemento_estacion_81,02,PM082,Escuinapa,Mexico,,,2021-06-01
waybill_complemento_estacion_82,02,PM083,Teacapan,Mexico,,,2021-06-01
waybill_complemento_estacion_83,02,PM084,Guaymas,Mexico,,,2021-06-01
waybill_complemento_estacion_84,02,PM085,Puerto Pe�asco,Mexico,,,2021-06-01
waybill_complemento_estacion_85,02,PM086,Golfo de Santa Clara,Mexico,,,2021-06-01
waybill_complemento_estacion_86,02,PM087,Bahia Kino,Mexico,,,2021-06-01
waybill_complemento_estacion_87,02,PM088,Yavaros,Mexico,,,2021-06-01
waybill_complemento_estacion_88,02,PM089,Puerto Libertad,Mexico,,,2021-06-01
waybill_complemento_estacion_89,02,PM090,General Rodolfo Sanchez Toboada,Mexico,,,2021-06-01
waybill_complemento_estacion_90,02,PM091,San Carlos,Mexico,,,2021-06-01
waybill_complemento_estacion_91,02,PM092,Dos Bocas,Mexico,,,2021-06-01
waybill_complemento_estacion_92,02,PM093,Frontera,Mexico,,,2021-06-01
waybill_complemento_estacion_93,02,PM094,Chiltepec,Mexico,,,2021-06-01
waybill_complemento_estacion_94,02,PM095,Sanchez Magallanes,Mexico,,,2021-06-01
waybill_complemento_estacion_95,02,PM096,Puerto Altamira,Mexico,,,2021-06-01
waybill_complemento_estacion_96,02,PM097,Puerto Tampico,Mexico,,,2021-06-01
waybill_complemento_estacion_97,02,PM098,Puerto Matamoros,Mexico,,,2021-06-01
waybill_complemento_estacion_98,02,PM099,La Pesca,Mexico,,,2021-06-01
waybill_complemento_estacion_99,02,PM100,Puerto de Veracruz,Mexico,,,2021-06-01
